"(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)",label
6.8837,40.09,62.078,46.634,62.4,68.625,29.743,14.1,9.071,6.7323,8.1742,7.5552,4.6138,3.585,2.7616,1.5297,2.2243,2.946,2.6374,5.0931,5.7547,1.9059,3.2258,3.1723,1.387,0.63154,1.289,3.2201,4.1872,0.15877,1.1926,0.54652,outlier
20.943,27.322,64.367,74.538,116.23,98.207,44.584,41.854,35.045,35.382,25.011,25.696,21.604,17.001,17.508,17.029,15.009,14.903,10.805,7.4808,2.5416,4.5005,5.613,6.547,6.382,2.3659,6.3367,5.819,1.3065,3.6371,0.95571,0.14607,outlier
14.527,59.014,88.137,12.433,32.66,72.851,29.907,18.051,26.625,10.001,17.168,13.676,10.4,4.4184,7.9077,18.126,15.173,9.5549,10.182,2.4487,2.11,1.9035,2.7438,7.1081,7.4683,6.688,9.6608,10.866,9.1922,4.9712,2.2227,0.34692,outlier
88.944,113.93,106.09,41.084,53.664,77.07,40.666,15.551,17.949,12.424,9.1244,5.4892,3.9175,5.8932,8.7348,15.122,18.104,9.9524,7.1926,5.1836,3.2681,2.1585,1.4226,3.1415,4.0712,4.1968,3.9198,6.2983,7.8051,3.9244,3.2982,1.5267,outlier
24.961,16.168,43.862,65.872,70.186,72.466,31.379,17.335,13.899,3.4141,1.1013,4.8784,2.9164,1.4285,5.991,5.7598,16.943,17.635,10.453,2.9874,2.7009,3.7214,3.1654,3.9647,3.8022,4.8341,6.2293,10.893,4.9526,3.9215,2.5658,1.1266,outlier
10.487,1.4663,42.241,56.129,47.677,64.147,39.783,30.72,25.636,11.446,10.128,10.991,8.5629,2.6819,9.6449,15.272,4.3985,17.385,20.156,10.551,10.869,8.381,4.9461,4.6277,5.2139,13.29,12.513,22.679,15.874,2.7921,3.2908,3.2267,outlier
35.144,56.716,99.881,80.752,70.004,61.514,6.0128,18.999,4.6554,8.4737,2.2652,6.5901,7.8384,7.5019,19.62,15.142,13.46,18.183,15.55,8.1822,11.82,5.6755,1.3047,1.6995,3.4799,11.578,29.27,35.649,19.172,6.418,6.3699,2.0523,outlier
24.967,25.876,90.575,79.002,26.015,67.652,31.883,13.109,19.995,19.491,13.122,2.9583,6.7659,5.281,14.781,12.207,10.234,14.875,15.046,14.336,3.2466,4.6393,4.2521,3.0851,0.56102,5.9681,10.596,7.4262,14.407,2.5817,5.6737,1.1304,outlier
22.663,12.439,12.768,59.136,86.275,37.955,35.131,30.863,21.442,40.162,40.985,21.015,14.97,20.659,20.67,7.9273,8.095,5.9362,5.7119,4.0116,5.8491,10.306,4.5388,4.5587,5.7946,3.9336,10.809,23.119,13.014,6.5313,4.3394,0.81641,outlier
