"(1,)","(2,)","(3,)","(4,)",label
1,1,1,1,outlier
1,1,1,2,target
1,1,1,3,target
1,1,1,4,target
1,1,1,5,target
1,1,2,1,target
1,1,2,2,target
1,1,2,3,target
1,1,2,4,target
1,1,2,5,target
1,1,3,1,target
1,1,3,2,target
1,1,3,3,target
1,1,3,4,target
1,1,3,5,target
1,1,4,1,target
1,1,4,2,target
1,1,4,3,target
1,1,4,4,target
1,1,4,5,target
1,1,5,1,target
1,1,5,2,target
1,1,5,3,target
1,1,5,4,target
1,1,5,5,target
1,2,1,1,outlier
1,2,1,2,outlier
1,2,1,3,target
1,2,1,4,target
1,2,1,5,target
1,2,2,1,outlier
1,2,2,2,target
1,2,2,3,target
1,2,2,4,target
1,2,2,5,target
1,2,3,1,target
1,2,3,2,target
1,2,3,3,target
1,2,3,4,target
1,2,3,5,target
1,2,4,1,target
1,2,4,2,target
1,2,4,3,target
1,2,4,4,target
1,2,4,5,target
1,2,5,1,target
1,2,5,2,target
1,2,5,3,target
1,2,5,4,target
1,2,5,5,target
1,3,1,1,outlier
1,3,1,2,outlier
1,3,1,3,outlier
1,3,1,4,target
1,3,1,5,target
1,3,2,1,outlier
1,3,2,2,target
1,3,2,3,target
1,3,2,4,target
1,3,2,5,target
1,3,3,1,outlier
1,3,3,2,target
1,3,3,3,target
1,3,3,4,target
1,3,3,5,target
1,3,4,1,target
1,3,4,2,target
1,3,4,3,target
1,3,4,4,target
1,3,4,5,target
1,3,5,1,target
1,3,5,2,target
1,3,5,3,target
1,3,5,4,target
1,3,5,5,target
1,4,1,1,outlier
1,4,1,2,outlier
1,4,1,3,outlier
1,4,1,4,outlier
1,4,1,5,target
1,4,2,1,outlier
1,4,2,2,outlier
1,4,2,3,target
1,4,2,4,target
1,4,2,5,target
1,4,3,1,outlier
1,4,3,2,target
1,4,3,3,target
1,4,3,4,target
1,4,3,5,target
1,4,4,1,outlier
1,4,4,2,target
1,4,4,3,target
1,4,4,4,target
1,4,4,5,target
1,4,5,1,target
1,4,5,2,target
1,4,5,3,target
1,4,5,4,target
1,4,5,5,target
1,5,1,1,outlier
1,5,1,2,outlier
1,5,1,3,outlier
1,5,1,4,outlier
1,5,1,5,outlier
1,5,2,1,outlier
1,5,2,2,outlier
1,5,2,3,target
1,5,2,4,target
1,5,2,5,target
1,5,3,1,outlier
1,5,3,2,target
1,5,3,3,target
1,5,3,4,target
1,5,3,5,target
1,5,4,1,outlier
1,5,4,2,target
1,5,4,3,target
1,5,4,4,target
1,5,4,5,target
1,5,5,1,outlier
1,5,5,2,target
1,5,5,3,target
1,5,5,4,target
1,5,5,5,target
2,1,1,1,outlier
2,1,1,2,outlier
2,1,1,3,target
2,1,1,4,target
2,1,1,5,target
2,1,2,1,outlier
2,1,2,2,target
2,1,2,3,target
2,1,2,4,target
2,1,2,5,target
2,1,3,1,target
2,1,3,2,target
2,1,3,3,target
2,1,3,4,target
2,1,3,5,target
2,1,4,1,target
2,1,4,2,target
2,1,4,3,target
2,1,4,4,target
2,1,4,5,target
2,1,5,1,target
2,1,5,2,target
2,1,5,3,target
2,1,5,4,target
2,1,5,5,target
2,2,1,1,outlier
2,2,1,2,outlier
2,2,1,3,outlier
2,2,1,4,outlier
2,2,1,5,target
2,2,2,1,outlier
2,2,2,2,outlier
2,2,2,3,target
2,2,2,4,target
2,2,2,5,target
2,2,3,1,outlier
2,2,3,2,target
2,2,3,3,target
2,2,3,4,target
2,2,3,5,target
2,2,4,1,outlier
2,2,4,2,target
2,2,4,3,target
